fli	names
H3MKMDSXF_1_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H3MKMDSXF_2_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H3MKMDSXF_3_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H3MKMDSXF_4_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H52FVDSXF_1_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H52FVDSXF_2_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H52FVDSXF_3_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H52FVDSXF_4_8bp-UDP0217	A253_Ptilinopus melanospilus_WGS_042
H52FVDSXF_1_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52FVDSXF_2_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52FVDSXF_3_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52FVDSXF_4_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52MFDSXF_1_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52MFDSXF_2_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52MFDSXF_3_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52MFDSXF_4_8bp-UDP0251	A385_Ixobrychus minutus_WGS_045
H52FVDSXF_1_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52FVDSXF_2_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52FVDSXF_3_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52FVDSXF_4_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52MFDSXF_1_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52MFDSXF_2_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52MFDSXF_3_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52MFDSXF_4_8bp-UDP0218V3	A503_Cygnus melancoryphus_WGS_047
H52FVDSXF_1_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52FVDSXF_2_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52FVDSXF_3_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52FVDSXF_4_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52MFDSXF_1_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52MFDSXF_2_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52MFDSXF_3_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H52MFDSXF_4_8bp-UDP0219	A531_Phoenicopterus chilensis_WGS_050
H3MKMDSXF_1_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H3MKMDSXF_2_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H3MKMDSXF_3_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H3MKMDSXF_4_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H52FVDSXF_1_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H52FVDSXF_2_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H52FVDSXF_3_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H52FVDSXF_4_8bp-UDP0252V2	A536_Crinifer piscator_WGS_051
H52FVDSXF_1_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52FVDSXF_2_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52FVDSXF_3_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52FVDSXF_4_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52MFDSXF_1_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52MFDSXF_2_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52MFDSXF_3_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52MFDSXF_4_8bp-UDP0220	A548_Tauraco erythrolophus_WGS_063
H52FVDSXF_1_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52FVDSXF_2_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52FVDSXF_3_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52FVDSXF_4_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52MFDSXF_1_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52MFDSXF_2_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52MFDSXF_3_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52MFDSXF_4_8bp-UDP0221V3	A512_Agapornis nigrigenis_WGS_048
H52FVDSXF_1_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52FVDSXF_2_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52FVDSXF_3_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52FVDSXF_4_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52MFDSXF_1_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52MFDSXF_2_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52MFDSXF_3_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H52MFDSXF_4_8bp-UDP0222V3	A587_Nycticorax nycticorax_WGS_128
H3MKMDSXF_1_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H3MKMDSXF_2_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H3MKMDSXF_3_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H3MKMDSXF_4_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H52FVDSXF_1_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H52FVDSXF_2_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H52FVDSXF_3_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H52FVDSXF_4_8bp-UDP0223V3	A346_Jacana jacana_WGS_147
H3MKMDSXF_1_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H3MKMDSXF_2_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H3MKMDSXF_3_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H3MKMDSXF_4_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H52FVDSXF_1_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H52FVDSXF_2_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H52FVDSXF_3_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
H52FVDSXF_4_8bp-UDP0224V3	A326_Nycticorax nycticorax_WGS_151
